epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7747,1.33805,3.39197,1.63415,0.64085,0.54768,0.58753,0.38638,1.22463,1.74534,1.49007,0.000194526,0.000194526,0.000194526
2,125.551,1.3016,1.96141,1.51615,0.43614,0.47196,0.42998,0.25889,1.32905,2.16412,1.60926,0.000387949,0.000387949,0.000387949
3,182.008,1.35076,1.82406,1.54878,0.51419,0.65182,0.58717,0.36976,1.23642,1.64457,1.54241,0.000578784,0.000578784,0.000578784
4,238.134,1.31977,1.74708,1.50534,0.51477,0.68236,0.63728,0.39567,1.28816,1.52726,1.5311,0.000576358,0.000576358,0.000576358
5,295.672,1.32924,1.69269,1.52298,0.61541,0.69011,0.6915,0.43816,1.29625,1.40459,1.53485,0.000572477,0.000572477,0.000572477
6,352.011,1.32301,1.5997,1.53727,0.63523,0.67417,0.67919,0.44308,1.25918,1.36606,1.50765,0.000568596,0.000568596,0.000568596
7,408.114,1.31259,1.53799,1.51265,0.66655,0.67324,0.70224,0.44485,1.26977,1.36678,1.5331,0.000564715,0.000564715,0.000564715
8,463.936,1.25952,1.43919,1.48561,0.61832,0.63417,0.63206,0.3944,1.28848,1.56577,1.53023,0.000560834,0.000560834,0.000560834
9,520.45,1.2784,1.422,1.4748,0.71441,0.66472,0.73198,0.49236,1.16933,1.45465,1.41144,0.000556954,0.000556954,0.000556954
10,577.353,1.25806,1.38522,1.45489,0.72442,0.68854,0.75455,0.48785,1.21188,1.13901,1.4516,0.000553073,0.000553073,0.000553073
11,632.826,1.27234,1.36984,1.47741,0.57942,0.72867,0.7211,0.48486,1.20624,1.26492,1.43227,0.000549192,0.000549192,0.000549192
12,689.602,1.26901,1.29109,1.45967,0.72518,0.71906,0.74805,0.48632,1.26307,1.19984,1.50268,0.000545311,0.000545311,0.000545311
13,746.11,1.2592,1.2777,1.44747,0.74553,0.74094,0.78686,0.5247,1.19975,1.10741,1.43075,0.00054143,0.00054143,0.00054143
14,803.035,1.21827,1.18656,1.43884,0.75835,0.70711,0.77243,0.50814,1.20272,1.098,1.45701,0.00053755,0.00053755,0.00053755
15,860.038,1.20203,1.153,1.40979,0.76204,0.76824,0.81657,0.55134,1.17905,1.02003,1.43456,0.000533669,0.000533669,0.000533669
16,916.686,1.21286,1.16599,1.41215,0.69173,0.74092,0.77026,0.52355,1.15742,1.06382,1.41307,0.000529788,0.000529788,0.000529788
